date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:05:29	14537/14537	---M-Z	200	added ('OK')	text/html	date:Wed,%2029%20Oct%202025%2014:04:01%20GMT	https://fusionfx.com.ng/register/68ebeb645eb5e	C:/My%20Web%20Sites/teacher/fusionfx.com.ng/register/68ebeb645eb5e.html	(from )
15:05:29	640/640	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2029%20Oct%202025%2014:04:01%20GMT	https://fusionfx.com.ng/robots.txt		(from )
15:05:30	96903/96903	---M--	200	added ('OK')	image/png	etag:%2217a87-68938db9-3349583bb2830f6c;;;%22	https://fusionfx.com.ng/assets/images/logo/favicon.png	C:/My%20Web%20Sites/teacher/fusionfx.com.ng/assets/images/logo/favicon.png	(from https://fusionfx.com.ng/register/68ebeb645eb5e)
15:05:31	232947/232947	---M-Z	200	added ('OK')	text/css	etag:%2238df3-68933da1-9c321f6bf06da16;gz%22	https://fusionfx.com.ng/assets/frontend/mediumpurple/css/lib/bootstrap.min.css	C:/My%20Web%20Sites/teacher/fusionfx.com.ng/assets/frontend/mediumpurple/css/lib/bootstrap.min.css	(from https://fusionfx.com.ng/register/68ebeb645eb5e)
15:05:31	58578/58578	---M-Z	200	added ('OK')	text/css	etag:%22e4d2-68933da1-8c48ff03434df71d;gz%22	https://fusionfx.com.ng/assets/frontend/mediumpurple/css/all.min.css	C:/My%20Web%20Sites/teacher/fusionfx.com.ng/assets/frontend/mediumpurple/css/all.min.css	(from https://fusionfx.com.ng/register/68ebeb645eb5e)
15:05:31	89768/89768	---M-Z	200	added ('OK')	text/css	etag:%2215ea8-68933da1-26a168e7e0076190;gz%22	https://fusionfx.com.ng/assets/frontend/mediumpurple/css/line-awesome.min.css	C:/My%20Web%20Sites/teacher/fusionfx.com.ng/assets/frontend/mediumpurple/css/line-awesome.min.css	(from https://fusionfx.com.ng/register/68ebeb645eb5e)
15:05:31	3557/3557	---M-Z	200	added ('OK')	text/css	etag:%22de5-68933da1-cda8d158a03f302e;gz%22	https://fusionfx.com.ng/assets/frontend/mediumpurple/css/lib/odometer.css	C:/My%20Web%20Sites/teacher/fusionfx.com.ng/assets/frontend/mediumpurple/css/lib/odometer.css	(from https://fusionfx.com.ng/register/68ebeb645eb5e)
15:05:32	1776/1776	---M-Z	200	added ('OK')	text/css	etag:%226f0-68933da1-3f4dcdd5f55bace6;gz%22	https://fusionfx.com.ng/assets/frontend/mediumpurple/css/lib/slick.css	C:/My%20Web%20Sites/teacher/fusionfx.com.ng/assets/frontend/mediumpurple/css/lib/slick.css	(from https://fusionfx.com.ng/register/68ebeb645eb5e)
15:05:32	115215/115215	---M-Z	200	added ('OK')	text/css	etag:%221c20f-68933da1-42a4858eb244af41;gz%22	https://fusionfx.com.ng/assets/frontend/mediumpurple/css/main.css	C:/My%20Web%20Sites/teacher/fusionfx.com.ng/assets/frontend/mediumpurple/css/main.css	(from https://fusionfx.com.ng/register/68ebeb645eb5e)
15:05:32	3286/3286	---M-Z	200	added ('OK')	text/css	etag:%22cd6-68933da1-76a5d9d16d417540;gz%22	https://fusionfx.com.ng/assets/frontend/mediumpurple/css/custom.css	C:/My%20Web%20Sites/teacher/fusionfx.com.ng/assets/frontend/mediumpurple/css/custom.css	(from https://fusionfx.com.ng/register/68ebeb645eb5e)
15:05:32	7858/7858	---M-Z	200	added ('OK')	text/css	etag:%221eb2-68933da1-efe28ae65a26c0b8;gz%22	https://fusionfx.com.ng/assets/backend/bootoast/toastr.css	C:/My%20Web%20Sites/teacher/fusionfx.com.ng/assets/backend/bootoast/toastr.css	(from https://fusionfx.com.ng/register/68ebeb645eb5e)
15:05:34	1017/1017	---MC-	200	added ('OK')	text/javascript	date:Wed,%2029%20Oct%202025%2014:04:06%20GMT	https://www.google.com/recaptcha/api.js	C:/My%20Web%20Sites/teacher/www.google.com/recaptcha/api.js	(from https://fusionfx.com.ng/register/68ebeb645eb5e)
15:05:34	96903/96903	---M--	200	added ('OK')	image/png	etag:%2217a87-68938da4-e23c75f6290c91f2;;;%22	https://fusionfx.com.ng/assets/images/logo/logo.png	C:/My%20Web%20Sites/teacher/fusionfx.com.ng/assets/images/logo/logo.png	(from https://fusionfx.com.ng/register/68ebeb645eb5e)
15:05:34	89501/89501	---M-Z	200	added ('OK')	application/x-javascript	etag:%2215d9d-68933da1-1ba11c6b6c3a1a67;gz%22	https://fusionfx.com.ng/assets/frontend/mediumpurple/js/lib/jquery-3.6.0.min.js	C:/My%20Web%20Sites/teacher/fusionfx.com.ng/assets/frontend/mediumpurple/js/lib/jquery-3.6.0.min.js	(from https://fusionfx.com.ng/register/68ebeb645eb5e)
15:05:35	80663/80663	---M-Z	200	added ('OK')	application/x-javascript	etag:%2213b17-68933da1-3cade8a73909ec19;gz%22	https://fusionfx.com.ng/assets/frontend/mediumpurple/js/lib/bootstrap.bundle.min.js	C:/My%20Web%20Sites/teacher/fusionfx.com.ng/assets/frontend/mediumpurple/js/lib/bootstrap.bundle.min.js	(from https://fusionfx.com.ng/register/68ebeb645eb5e)
